cell_id,demand,visit_count,trajectory_count,entry_count
R010C009,0.0,0,0,0
R010C010,0.0,0,0,0
R010C011,0.0,0,0,0
R010C012,0.0,0,0,0
R010C013,0.0,0,0,0
R010C014,0.0,0,0,0
R010C015,0.0,0,0,0
R010C016,0.0,0,0,0
R010C017,0.0,0,0,0
R010C018,0.0,0,0,0
R010C019,0.0,0,0,0
R010C020,0.0,0,0,0
R010C021,0.18690161589713872,1,1,1
R010C022,0.0,0,0,0
R010C023,0.0,0,0,0
R010C024,0.27219318306275964,3,1,2
R010C025,0.7998259092990474,16,2,6
R010C026,0.32593557297241876,4,1,3
R010C027,0.45213228199626626,8,1,3
R010C028,0.45213228199626626,8,1,3
R010C029,0.32593557297241876,4,1,3
R010C030,0.30374236031872154,4,1,2
R010C031,0.27219318306275964,3,1,2
R010C032,0.21845079315310056,2,1,1
R010C033,0.24999997040906244,3,1,1
R010C034,0.0,0,0,0
R010C035,0.0,0,0,0
R010C036,0.0,0,0,0
R010C037,0.0,0,0,0
R010C038,0.0,0,0,0
R010C039,0.0,0,0,0
R010C040,0.0,0,0,0
R010C041,0.18690161589713872,1,1,1
R010C042,0.30374236031872154,4,1,2
R010C043,0.27219318306275964,3,1,2
R010C044,0.30374236031872154,4,1,2
R010C045,0.21845079315310056,2,1,1
R010C046,0.18690161589713872,1,1,1
R010C047,0.4743254946499635,8,1,4
R010C048,0.0,0,0,0
R010C049,0.0,0,0,0
R010C050,0.0,0,0,0
R011C000,0.0,0,0,0
R011C001,0.0,0,0,0
R011C002,0.0,0,0,0
R011C003,0.0,0,0,0
R011C004,0.0,0,0,0
R011C005,0.0,0,0,0
R011C006,0.0,0,0,0
R011C007,0.0,0,0,0
R011C008,0.0,0,0,0
R011C009,0.0,0,0,0
R011C010,0.0,0,0,0
R011C011,0.0,0,0,0
R011C012,0.0,0,0,0
R011C013,0.0,0,0,0
R011C014,0.0,0,0,0
R011C015,0.0,0,0,0
R011C016,0.2815491476650243,4,1,1
R011C017,0.18690161589713872,1,1,1
R011C018,0.0,0,0,0
R011C019,0.0,0,0,0
R011C020,0.0,0,0,0
R011C021,0.27219318306275964,3,1,2
R011C022,0.6303306773035577,11,2,4
R011C023,0.6553524386411768,12,2,4
R011C024,0.7304177226540339,15,2,4
R011C025,0.48302865796176514,6,2,3
R011C026,0.3574847502283806,5,1,3
R011C027,0.30374236031872154,4,1,2
R011C028,0.0,0,0,0
R011C029,0.0,0,0,0
R011C030,0.0,0,0,0
R011C031,0.18690161589713872,1,1,1
R011C032,0.30374236031872154,4,1,2
R011C033,0.2406440058067978,2,1,2
R011C034,0.18690161589713872,1,1,1
R011C035,0.0,0,0,0
R011C036,0.0,0,0,0
R011C037,0.0,0,0,0
R011C038,0.0,0,0,0
R011C039,0.0,0,0,0
R011C040,0.0,0,0,0
R011C041,0.0,0,0,0
R011C042,0.0,0,0,0
R011C043,0.0,0,0,0
R011C044,0.0,0,0,0
R011C045,0.21845079315310056,2,1,1
R011C046,0.21845079315310056,2,1,1
R011C047,0.27219318306275964,3,1,2
R011C048,0.30374236031872154,4,1,2
R011C049,0.18690161589713872,1,1,1
R011C050,0.0,0,0,0
R012C000,0.0,0,0,0
R012C001,0.0,0,0,0
R012C002,0.0,0,0,0
R012C003,0.0,0,0,0
R012C004,0.0,0,0,0
R012C005,0.0,0,0,0
R012C006,0.0,0,0,0
R012C007,0.0,0,0,0
R012C008,0.0,0,0,0
R012C009,0.0,0,0,0
R012C010,0.0,0,0,0
R012C011,0.0,0,0,0
R012C012,0.0,0,0,0
R012C013,0.0,0,0,0
R012C014,0.0,0,0,0
R012C015,0.0,0,0,0
R012C016,0.18690161589713872,1,1,1
R012C017,0.21845079315310056,2,1,1
R012C018,0.18690161589713872,1,1,1
R012C019,0.27219318306275964,3,1,2
R012C020,0.30374236031872154,4,1,2
R012C021,0.2406440058067978,2,1,2
R012C022,1.0,24,2,6
R012C023,0.8248476706366664,17,2,6
